period,periodYear,periodQuarter,periodOrder,sourceObject,sourceGrain,ageGroup,unitJoinKey,unitCode,unitZipCode,unitName,coordinatingCouncil,stakeOrDistrict,state,city,snapshotDate,members,participating,males,females,notParticipating,participatingMales,participatingFemales,sourceParticipationRate,lowParticipationFlag,unitPriorityIndex,cityPriorityIndex,isolationVsPerformance,stakeDistanceTier,councilDistanceTier,milesToCouncilCentroid,cityLatitude,cityLongitude
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|frederick 2nd ward (spanish),,,Frederick 2nd Ward (Spanish),Maryland Baltimore,Frederick Maryland Stake,Maryland,Frederick,2025 Q3,44.0,6.0,,,,,,0.14012739062309265,0,0.18769223988056183,0.359127014875412,Low isolation / Low participation,20�40 mi,<20 mi,5.545164585113525,39.41577911376953,-77.41275787353516
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|monocacy ward,,,Monocacy Ward,Maryland Baltimore,Frederick Maryland Stake,Maryland,Monocacy,2025 Q3,56.0,12.0,,,,,,0.2142857164144516,0,0.020761923864483833,0.253513902425766,Low isolation / Low participation,20�40 mi,<20 mi,7.213679313659668,39.382259368896484,-77.39454650878906
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|mount airy ward,,,Mount Airy Ward,Maryland Baltimore,Frederick Maryland Stake,Maryland,Mount Airy,2025 Q3,50.0,15.0,,,,,,0.30000001192092896,0,0.01675545424222946,0.24895794689655304,Low isolation / High participation,20�40 mi,<20 mi,12.852675437927246,39.376590728759766,-77.1549072265625
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|walkersville ward,,,Walkersville Ward,Maryland Baltimore,Frederick Maryland Stake,Maryland,Walkerville,2025 Q3,58.0,18.0,,,,,,0.3103448152542114,0,0.0003856850089505315,0.2583165466785431,Low isolation / High participation,20�40 mi,<20 mi,0.2958488166332245,39.484825134277344,-77.3497085571289
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|woodbine ward,,,Woodbine Ward,Maryland Baltimore,Frederick Maryland Stake,Maryland,Woodbine,2025 Q3,36.0,12.0,,,,,,0.3333333432674408,0,0.023059381172060966,0.24375200271606445,Low isolation / High participation,<20 mi,<20 mi,17.688255310058594,39.35994338989258,-77.06208038330078
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,gettysburg pennsylvania stake|carlisle ward,,,Carlisle Ward,Maryland Baltimore,Gettysburg Pennsylvania Stake,Pennsylvania,Carlisle,2025 Q3,80.0,20.0,,,,,,0.25,0,0.06582210212945938,0.22882603108882904,Low isolation / High participation,40�75 mi,40�75 mi,50.49043273925781,40.201499938964844,-77.18907928466797
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,gettysburg pennsylvania stake|fairview ward,,,Fairview Ward,Maryland Baltimore,Gettysburg Pennsylvania Stake,Pennsylvania,Fairview,2025 Q3,120.0,29.0,,,,,,0.24166665971279144,0,0.21456167101860046,0.1603247970342636,Low isolation / High participation,?75 mi,?75 mi,164.58470153808594,41.01450729370117,-79.74282836914062
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,gettysburg pennsylvania stake|gettysburg ward,,,Gettysburg Ward,Maryland Baltimore,Gettysburg Pennsylvania Stake,Pennsylvania,Gettysburg,2025 Q3,108.0,19.0,,,,,,0.17592592537403107,0,0.13140855729579926,0.2870562672615051,Low isolation / Low participation,?75 mi,20�40 mi,24.989580154418945,39.83089828491211,-77.23101043701172
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,gettysburg pennsylvania stake|hampstead ward,,,Hampstead Ward,Maryland Baltimore,Gettysburg Pennsylvania Stake,Pennsylvania,Hampstead,2025 Q3,63.0,8.0,,,,,,0.1269841343164444,0,0.371456503868103,0.275348424911499,Low isolation / Low participation,20�40 mi,?75 mi,123.51602172851562,40.57440185546875,-75.50572967529297
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,gettysburg pennsylvania stake|hanover ward,,,Hanover Ward,Maryland Baltimore,Gettysburg Pennsylvania Stake,Pennsylvania,Hanover,2025 Q3,88.0,21.0,,,,,,0.23863635957241058,0,0.03852611035108566,0.2436477392911911,Low isolation / High participation,40�75 mi,20�40 mi,29.552383422851562,39.800533294677734,-76.9832534790039
