coordinatingCouncil,stakeOrDistrict,state,city,unitName,members,participating,participationRate,date
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Mayfair,Mayfair Branch (Spanish),30,17,0.5666666666666667,2025-07-01
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Morrisville,Morrisville Ward,120,17,0.14166666666666666,2025-07-01
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Pennypack,Pennypack Ward,122,23,0.1885245901639344,2025-07-01
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Souderton,Souderton Ward,89,13,0.14606741573033707,2025-07-01
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Tioga,Tioga Branch (Spanish),106,17,0.16037735849056603,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Allentown,Allentown Ward (Spanish),86,20,0.23255813953488372,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Bethlehem,Bethlehem Ward,132,13,0.09848484848484848,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Exeter,Exeter Ward,174,17,0.09770114942528736,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Milford,Milford Ward,91,14,0.15384615384615385,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Pottstown,Pottstown Ward,167,29,0.17365269461077845,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Pottsville,Pottsville Branch,89,15,0.16853932584269662,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Reading,Reading 1st Ward,198,31,0.15656565656565657,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Reading,Reading 3rd Ward (Spanish),126,22,0.1746031746031746,2025-07-01
Pennsylvania Philadelphia,Reading Pennsylvania Stake,Pennsylvania,Whitehall,Whitehall Ward,220,31,0.1409090909090909,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Clarks Summit,Clarks Summit Branch,52,7,0.1346153846153846,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Easton,Easton Ward,147,24,0.16326530612244897,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Hazleton,Hazleton Branch (Spanish),68,8,0.11764705882352941,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Lehighton,Lehighton Branch,121,17,0.14049586776859505,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Montrose,Montrose Branch,36,6,0.16666666666666666,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Nazareth,Nazareth Ward,30,7,0.23333333333333334,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Scranton,Scranton 1st Ward,268,24,0.08955223880597014,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Scranton,Scranton 2nd Branch (Spanish),34,7,0.20588235294117646,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Stroudsburg,Stroudsburg 1st Ward,95,10,0.10526315789473684,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Stroudsburg,Stroudsburg 2nd Ward,86,13,0.1511627906976744,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Stroudsburg,Stroudsburg 3rd Branch (Spanish),16,2,0.125,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Susquehanna,Susquehanna Branch,44,10,0.22727272727272727,2025-07-01
Pennsylvania Philadelphia,Scranton Pennsylvania Stake,Pennsylvania,Wilkes-Barre,Wilkes-Barre Ward,226,19,0.084070796460177,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Broomall,Broomall Ward,73,30,0.410958904109589,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Downingtown,Downingtown Ward,99,13,0.13131313131313133,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Philadelphia,Philadelphia 1st Ward,182,28,0.15384615384615385,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Philadelphia,Philadelphia 4th Ward,249,41,0.1646586345381526,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Philadelphia,Philadelphia YSA Ward,2,2,1.0,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Philadelphia,South Philadelphia Ward,114,20,0.17543859649122806,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Valley Forge,Valley Forge 1st Ward,133,18,0.13533834586466165,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Valley Forge,Valley Forge 2nd Ward,84,25,0.2976190476190476,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,West Chester,West Chester Ward,104,15,0.14423076923076922,2025-07-01
Pennsylvania Philadelphia,Valley Forge Pennsylvania Stake,Pennsylvania,Winder,Widener Ward,163,19,0.1165644171779141,2025-07-01
Pennsylvania Philadelphia,Wilmington Delaware Stake,Delaware,Bayview,Bayview Ward,125,25,0.2,2025-07-01
Pennsylvania Philadelphia,Wilmington Delaware Stake,Delaware,Newark,Newark 1st Ward,108,18,0.16666666666666666,2025-07-01
Pennsylvania Philadelphia,Wilmington Delaware Stake,Delaware,Newark,Newark 2nd Ward,,,,2025-07-01
Pennsylvania Philadelphia,Wilmington Delaware Stake,Delaware,Newark,Newark 3rd Ward,161,29,0.18012422360248448,2025-07-01
Pennsylvania Philadelphia,Wilmington Delaware Stake,Delaware,Newark,Newark YSA Branch,,,,2025-07-01
Pennsylvania Philadelphia,Wilmington Delaware Stake,Delaware,Wilmington,Wilmington 1st Ward,77,23,0.2987012987012987,2025-07-01
Pennsylvania Philadelphia,Wilmington Delaware Stake,Delaware,Wilmington,Wilmington 2nd Ward,126,28,0.2222222222222222,2025-07-01
Pennsylvania Philadelphia,Wilmington Delaware Stake,Delaware,Wilmington,Wilmington 3rd Ward (Spanish),70,12,0.17142857142857143,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Annapolis,Annapolis Ward,92,9,0.09782608695652174,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Broadneck,Broadneck Ward,78,28,0.358974358974359,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Brooklyn Park,Brooklyn Park Branch,,,,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Fort Meade,Fort Meade Ward,98,12,0.12244897959183673,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Glen Burnie,Glen Burnie Ward,195,16,0.08205128205128205,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Kent Island,Kent Island Branch,104,8,0.07692307692307693,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Odenton,Odenton Ward,69,13,0.18840579710144928,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Pasedena,Pasadena Ward,165,15,0.09090909090909091,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Rivera Beach,Riviera Beach Branch (Spanish),11,2,0.18181818181818182,2025-07-01
Washington DC North,Annapolis Maryland Stake,Maryland,Spa Creek,Spa Creek Branch (Spanish),20,4,0.2,2025-07-01
Washington DC North,Seneca Maryland Stake,Maryland,Derwood,Derwood Ward,63,25,0.3968253968253968,2025-07-01
Washington DC North,Seneca Maryland Stake,Maryland,Gaithersburg,Gaithersburg Ward (Spanish),126,31,0.24603174603174602,2025-07-01
Washington DC North,Seneca Maryland Stake,Maryland,Germantown,Germantown Ward,127,29,0.2283464566929134,2025-07-01
Washington DC North,Seneca Maryland Stake,Maryland,Kentlands,Kentlands Ward,47,12,0.2553191489361702,2025-07-01
Washington DC North,Seneca Maryland Stake,Maryland,Montgomery,Montgomery Branch (Mandarin),30,8,0.26666666666666666,2025-07-01
Washington DC North,Seneca Maryland Stake,Maryland,Montgomery,Montgomery Village Ward,112,27,0.24107142857142858,2025-07-01
Washington DC North,Seneca Maryland Stake,Maryland,Seneca,Seneca Ward,69,21,0.30434782608695654,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,Aspen Hill,Aspen Hill Ward (Spanish),61,15,0.2459016393442623,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,Carrollton,Carrollton Ward,139,22,0.15827338129496402,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,College Park,College Park Ward,256,36,0.140625,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,Lanham,Lanham Ward (Spanish),32,15,0.46875,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,Laurel,Laurel 1st Ward,203,18,0.08866995073891626,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,Laurel,Laurel 2nd Branch (Spanish),29,13,0.4482758620689655,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,Olney,Olney Ward,155,24,0.15483870967741936,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,Silver Spring,Silver Spring Ward (Spanish),125,14,0.112,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,Takoma Park,Takoma Park Branch (French),78,20,0.2564102564102564,2025-07-01
Washington DC North,Silver Spring Maryland Stake,Maryland,White Oak,White Oak Ward,139,32,0.2302158273381295,2025-07-01
Washington DC North,Suitland Maryland Stake,Maryland,Bayside,Bayside Ward,87,12,0.13793103448275862,2025-07-01
Washington DC North,Suitland Maryland Stake,Maryland,Bowie,Bowie Ward,110,34,0.3090909090909091,2025-07-01
Washington DC North,Suitland Maryland Stake,Maryland,Calvert,Calvert Ward,111,16,0.14414414414414414,2025-07-01
Washington DC North,Suitland Maryland Stake,Maryland,Suitland,Capitol Ward,262,43,0.16412213740458015,2025-07-01
Washington DC North,Suitland Maryland Stake,Maryland,Lexington Park,Lexington Park Ward,140,17,0.12142857142857143,2025-07-01
Washington DC North,Suitland Maryland Stake,Maryland,Patuxent,Patuxent Ward,99,21,0.21212121212121213,2025-07-01
Washington DC North,Suitland Maryland Stake,Maryland,Suitland,Suitland Branch (Spanish),33,10,0.30303030303030304,2025-07-01
Washington DC North,Suitland Maryland Stake,Maryland,White Plains,White Plains Ward,145,29,0.2,2025-07-01
Washington DC North,Washington DC Stake,Washington DC,Bethesda,Bethesda Ward,96,23,0.23958333333333334,2025-07-01
Washington DC North,Washington DC Stake,Washington DC,Capital Hill,Capitol Hill Ward,445,54,0.12134831460674157,2025-07-01
Washington DC North,Washington DC Stake,Washington DC,Chevy Chase,Chevy Chase Ward,64,41,0.640625,2025-07-01
